Resume_str,Category,field,score,grade
"HR ASSOCIATE         Professional Summary    Enthusiastic and goal-oriented HR Professional with 3+ years experience driving innovation and strategy for a global
technology organization. Excellent reputation for proactively resolving problems, communicating effectively, and
driving overall operational improvements. Relocating to the San Francisco Bay Area and seeking a fulltime role
in Human Resources or Talent Acquisition where I can leverage my experience and provide value to the company.     ",HR,business,32.0,1
"HR SPECIALIST       Summary    An Human Resources Specialist  with over  9  years in recruitment and federal employment processes.  An energetic, innovative, out the box thinker who is a self-starter with excellent analytical, organizational and project management skills.  As an  HR Recruiter who communicates and collaborates effectively with all levels of personnel I rely on excellent interpersonal skills, outstanding customer service and a solid expertise in human resources management.  I poss",HR,business,44.0,1
"HR COORDINATOR       Summary     Certified Human Resources Professional with extensive employee relations experience in a full range of functions, as well as success in simultaneously managing multiple projects.        Highlights          Employee relations  Compensation administration  Personnel records maintenance  New hire orientation  Hiring and retention  Training and development  Compensation/payroll  Staffing and recruiting professional  Off-boarding  Interviewing expertise  Performance m",HR,business,45.0,1
"HR GENERALIST         Summary    Energetic, Bilingual Human Resources Professional offering ~11 years of extensive and successful experience
administering various HR plans and procedures. Emphasis on recruitment/retention, management and HR
principles & practices. Expertise in employee relations and organization development through education, and
experience, seeks a similar role to produce immediate growth contribution to a rewarding company.      Highlights           Hiring and retention    Tra",HR,business,42.0,1
HR COORDINATOR       Professional Summary     Highly efficient Hr Coordinator well established in administrative environments that are fast-paced and challenging.       Core Qualifications          Exceptional interpersonal skills  Innovative  Microsoft Office Suite expert  Human resources audits  Maintains confidentiality  Personnel records maintenance  New hire orientation        Applicant Tracking System  EEO Reporting  HRMS  People-oriented  Organized  Exceptional communicator  Recruiting   ,HR,business,33.0,1
"HR MANAGER/GENERALIST       Summary    Background of progressively responsible Human Resources experience in union and non-union, ISO and FDA regulated manufacturing environments Knowledge of State and Federal employment laws Ability to work effectively with all levels of employees and management, maintaining integrity, professionalism and confidentiality Ability to develop positive working relationships with TPAs, benefit service providers, recruiting firms and vendors Proficient in Excel, Word",HR,business,22.0,0
"HR REPRESENTATIVE       Summary    Experienced human resources professional with working knowledge of state and federal employment laws and regulations, dedicated to improving employee satisfaction, management-employee relations, and working conditions through commitment, communication, confidentiality, and a sense of urgency.  Looking for a company to share my skills and knowledge with where I can grow as a HR professional.      Skills          On-boarding   Staffing and recruiting professional",HR,business,48.0,1
"HR DIRECTOR/ADMINISTRATOR           Executive Profile    A self-motivated individual with over 20 years' experience successfully managing a myriad of diverse enterprises.  Major strengths include the ability to rapidly set-up, organize, and oversee new offices, provide expert document control, excellent meeting planning skills, and the ability to liaise among diverse entities.      Skill Highlights          Small business development  Project management  Leadership/communication skills  Employee",HR,business,32.0,1
"HR INTERN       Summary    An enthusiastic student, highly motivated and committed to developing personally and
professionally. Have the ability to learn quickly, work efficiently and use my educational
knowledge effectively in work settings. Skilled in research, multi-tasking, time management and
communication. Experienced in human resource / organisational management, counselling and business
development.       Educational Background      Master of Arts  ,   Organisational Psychology   2018   ",HR,business,43.0,1
HR ASSISTANT             Highlights          Interviewing expertise  Employee Relations  Manager Coaching and training  Event management  Employee Handbook development  Staffing and recruiting professional  Off-boarding              Accomplishments      Organized HR Generalist effective at record maintenance and assuring compliance with government employment regulations at all times.  Personable HR Generalist versed in recruiting top employees to automotive companies and innovative start-ups.  E,HR,business,45.0,1
"HR GENERALIST       Professional Profile     Responsible administrative support professional with extensive experience in Project Management and Finance environments. Organized and detail-oriented with strengths in project management and inventory control.  Certified Professional in Human Resources (PHR) with additional state certification from US Armed Forces offering a 9 year HR career distinguished by commended performance and proven results. Extensive background in HR generalist affairs, inc",HR,business,47.0,1
"HR MANAGER       Executive Profile    Accomplished HR Professional experienced in strategic planning, organizational development and management of Human Resources business operations. A savvy team leader skilled in attracting the most qualified talent. Pivotal contributor to senior operating and leadership executives, providing HR leadership to multiple sites from due diligence to conversation. Innovative problem solver, strategic decision maker, and strong communicator. Benefits Acquisition Ret",HR,business,46.0,1
"HR CONSULTANT       Summary     Detail-oriented 25 years human resources professional who excels under tight deadlines, while anticipating and averting potential problems by proactively streamlining processes to find the perfect applicant.       Highlights          PHR Certified Professionals in Human Resources Association  Excellent interpersonal and coaching skills  Recruiting and selection techniques  National Human Resources Association  Talent assessments  Hiring recommendations  Background",HR,business,50.0,2
"HR COORDINATOR           Summary    To obtain a challenging career in the human resource field where I can utilize my capabilities and experiences to achieve goals as well as my personal development.      Highlights         I have great knowledge of fax machines, printers, copiers, and computers.   I type about 45 wpm with a great accuracy I also have Microsoft Word, Excel Access and PowerPoint experience               Experience      HR Coordinator    February 2015   to   Current     Company Na",HR,business,33.0,1
HR MANAGER         Summary     Human Resources Professional with practical understanding of business needs. Areas of expertise include conflict management and employee training. Highly effective at incorporating creative leadership skills to achieve business objectives. Directs projects that improve efficiency while meeting deadlines and budget requirements.       Highlights          Hiring and retention  Training and development  Recruiting  Compensation/payroll  Employee relations  Personnel r,HR,business,31.0,1
"HR GENERALIST           Summary     Human Resource Manager adding value by contributing to company growth and profitability. Trusted adviser and strategic business partner. Efficient in developing and implementing HR plans and procedures. Promotes team-oriented, open-door environments conducive to successful workforce. Highly motivated to achieve company goals.       Highlights          Coaching and training  Employment law knowledge  Employee relations  Event management  HRIS proficient      Pe",HR,business,40.0,1
"HR PARTNER           Summary     Experienced Human Resources Business Partner with expertise in partnering with Line of Business Leaders to provide guidance on human capital strategies to include, but not limited to, employee relations, talent management, compensation, etc., in order meet business goals and objectives.       Highlights          Project management  Matrix management experience  Talent management expertise  Employee relations expertise  Performance management strategies  Compensat",HR,business,35.0,1
"HR SPECIALIST           Summary     Energetic Administrative Assistant with 30+ years experience in high-level executive support roles. Organized and professional. Dedicated and focused, who excels at prioritizing, completing multiple tasks simultaneously and following through to achieve project goals. Seeking a role of increased responsibility and authority. Adept at managing multiple projects with ease using expert time management methods.        Highlights          Administration/  Accounting",HR,business,49.0,1
"HR DIRECTOR           Professional Summary    Experienced HR Manager over 3 facilities with 10 years of proven HR experience in all areas of Employee Relations, Benefits, 401k Management, Payroll, EEOC, AAP, FAA/DOT, Workers Compensation & Safety.       Core Qualifications          Employee relations  Benefits administrator   Employment law knowledge    Interviewing expertise  Payroll expertise  Manager coaching and training   Staffing and recruiting professional                Experience      H",HR,business,47.0,1
"HR EXECUTIVE       Summary     Dual specialization in the domain of Human Resource Management and Finance.       Highlights          Human resources management  People-oriented      New employee orientations  Maintains confidentiality            Experience     May 2013   to   June 2014     Company Name   City  ,   State     HR Executive        Duties and Responsibilities  •Ensure that accurate job description are in place  •Provide advice and assistance with writing job descriptions  •Identify t",HR,business,30.0,1
HR EXECUTIVE       Professional Summary    Forward-thinking HR Generalist highly effective at adapting to evolving market plans and the needs associated with company expansion.      Skills          New employee orientations  Compensation and benefits  Termination procedures  In-depth knowledge of HR Compliance  Project management  MS Office proficient  Knowledgeable in all HR Systems  Team building  Employee recruitment      Interpersonal Skills  Good Communication Skill  Fast learner  Flexibili,HR,business,33.0,1
"HR GENERALIST         Skills        Microsoft Office Suite, SAP, Kronos, IBM, ADP, ATS, MSS, HRSS, and Oracle, Workbrain, T            Experience      HR Generalist     Jan 2015   to   Current      Company Name   －   City  ,   State     Provides strategic HR counsel by driving the company's HR practices.  Evaluates the current HR practices and makes recommendations for best in
    class solutions for contemporary HR issues.  Partners with Plant HR Manager Partner for disability processing, reloc",HR,business,47.0,1
"HR ASSISTANT       Professional Profile     Skilled Program Coordinator bringing extensive background in technology and business process. Organized, resourceful and detail-oriented with exceptional planning and decision-making abilities.       Qualifications          Human resources understanding  Scheduling proficiency  Market research proficiency  Report generation  Critical thinking  Eye for detail      Self-directed nature  Analytical problem solving  Contracts  Social media and networks  Mi",HR,business,41.0,1
"HR COORDINATOR       Summary    Highly accomplish human resource professional, proficient at developing policy, standard operating procedures, and best practices. Proven expertise in recruiting, training, employee development, retention, performance management, and conflict resolution. Adept at managing multiple projects simultaneously while demonstrating high performance standards with astute attention to details and deadlines. Organizing large amounts of time sensitive information and evaluati",HR,business,48.0,1
"HR COORDINATOR           Summary     Motivated professional seeking a career in outsides sales.  Self-starting, driven, persuasive, and positive attitude is sure to be an asset to any company.  Trilingual: English, Spanish and French. Exceptional listening skills and customer focused attitude has proven to have profitable outcomes.       Highlights          Sales  Strong lead development skills  Goal-oriented  Persuasive communication expertise  Multi-task management  Project Management  Payroll",HR,business,44.0,1
"HR GENERALIST       Experience     08/2017   to   Current     HR GENERALIST    Company Name   －   City  ,   State      Recruited to help open new company sales team in TX and NC, guiding senior management on pay and.  compensation for contract positions.  Worked with senior leadership to create HR policies and procedures; recruit.  employees; updated HRIS system for tracking time and attendance, PTO benefits, and employee applicant log;.  created training manual; conducted job evaluations and an",HR,business,44.0,1
"HR CONSULTANT       Summary       Subject matter expert in HR Applications, and  highly effective at incorporating creative solutions to achieve business objectives, and improve efficiency.  Energetic HR Business Analyst who is self-motivated and results-driven with strong communication, analytical, problem solving and reasoning skills.        Highlights          Analytical skills  Project management  Process improvement  Quality assurance and control  System Applications implementation  Microso",HR,business,42.0,1
"HR GENERALIST           Experience     04/2015   to   Current       Provide general administrative support such as preparing correspondence, forms,
          and reports
          Scheduling and coordinating staff meetings, maintaining meeting minutes and
          notes
          Generate confidential ad hoc statistical reporting data and documentation
          regarding turnover, new hires, birthdays, anniversaries, benefits, and other
          relevant HR metrics
          Collect onboardin",HR,business,31.0,1
"HR INTERN       Summary     Highly driven Recruiter who maintains a positive attitude under pressure and welcomes the challenge and responsibility of producing results quickly for clients.        Accomplishments     Devised a successful recruiting plan for the engineering team at Magnasoft, which resulted in  122   new employees in six  months.        Work Experience      HR Intern     Feb 2016   to   Current        City  ,   State     General recruitment with a focus on university recruitment: ",HR,business,32.0,1
"HR ASSISTANT/PAYROLL         Highlights        Paychex, Mastertax, ABRA, Time Star, InfoTronics, Store Master, Dominion, QuickBooks
Ceridian, PeopleSoft, SAP, Microsoft Word, Excel and PowerPoint, Crystal Reports              Experience      HR Assistant/Payroll    Company Name   －   City  ,   State      Human Resources professional offering over 15 years of combined HR and payroll
          experience in both manufacturing and academic settings
Accurate and timely preparation of employee payrol",HR,business,37.0,1
"HR ASSISTANT         Summary      Hard Worker, Dedicated, Detailed Oriented, Experienced, Organized, and Highly Motivated.  These are just some of the many attributes in which I possess as an individual. With over 5 years of experience in Human Resource administration and customer service, I have the talent to quickly adapt to new challenges. Within my experience, I focused on benefits administration, payroll, career development and employment law.        Highlights          Assigned administrat",HR,business,41.0,1
"HR GENERALIST       Professional Summary    9 years of experience in Human Resources, benefit administration, employees relations, recruitment and on-boarding, training and development, payroll administration (11 years' experience), customer relations (18 years' experience), and retail management (9 years' experience). I have developed workplace policies and procedures as well as implementation and training on these policies and procedures. I have developed training programs on a variety of diff",HR,business,25.0,0
"HR REPRESENTATIVE       Summary    A motivated business partner who communicates and collaborates effectively with all levels of personnel by relying on outstanding interpersonal and customer service skills, excellent sense of urgency and time management skills and taking pride in delivering high quality work.      Highlights            provide a high level of service to both internal and external clients and candidates   possess excellent communication skills  an organizational guru communicati",HR,business,33.0,1
"HR SPECIALIST       Summary    Results-driven professional with comprehensive experience in human resources, customer service, and financial services; strengths include problem-solving, strategic thinking and creativity; known as a self-motivated individual with the ability to work well with others in fast-paced environments with outstanding communication skills.      Highlights          Recruiting  Employee relations  Personnel records maintenance       New hire orientation  Exceptional interpe",HR,business,35.0,1
"HR MANAGER             Highlights          SENIOR HUMAN RESOURCES STRATEGIST / RECRUITMENT MANAGER  Talent Management | Strategic Recruitment Planning  Organizational Development  Top-performing Human Resources Professional with 10+ years of experience providing innovative and results-driven leadership within small and large organizations. Proven ability to effectively communicate with staff on all corporate levels, create and inspire positive relationships, and build solid teams of professional",HR,business,45.0,1
"SENIOR HR             Highlights        Safety ManagementEmployee EngagementHR GeneralistTraining & DevelopmentOrganizationRecruiting & Succession Planning            Accomplishments      Experienced in union and non union manufacturing, sales & headquarter environments.  Established North American region safety operations network across US & Canada, 7 manufacturing sites and 4separate business units, this model has been used in other functional areas.        Experience      Senior HR    January",HR,business,47.0,1
"HR GENERALIST       Professional Summary    Dependable and responsible Human Resources Generalist with over fourteen years experience in a fast-paced
environment. Solid team player with great positive attitude and exceptional people skills. Experience in many areas of HR
including benefits, compensation, employee relations, recruiting, payroll and processing of new hires and terminations.
Strong customer service and detail oriented.      Core Qualifications          Conflict resolution & creativ",HR,business,33.0,1
"HR CONSULTANT           Summary     Certified Human Resources Professional with 15 years background in full range of HR functions with extensive experience in employee management, hiring, training  State and Federal compliance and the ability to incorporate HR practices to achieve business results.        Highlights          Training and development  Recruiting  Exceptional interpersonal skills  Manager coaching and training      Performance management   Employment law compliance  Employee relat",HR,business,46.0,1
"HR ASSOCIATE       Summary     Innovative and artistic professional with 6 years in the fashion industry, and an Energetic Recruiter who is self-motivated and results-driven with strong communication, analytical, problem solving and reasoning skills.       Highlights          Trend and emerging brand awareness  Detail-oriented  Apparel styling techniques  Superior communication skills  Strong creative design skills  Self-motivated professional  Superb attention to detail      Hiring and retentio",HR,business,50.0,2
"HR COORDINATOR       Summary     To obtain a Human Resources Generalist position that will fully utilize my extensive background and in HR, including experience in onboarding, payroll, benefits and compensation, HR policies and training and development       Human Resources Skills     Payroll · Benefits Administration · Employment Law · FMLA/ADA/EEO/WC · HR Policies
  & Procedures · Staffing & Retention· Employee Relations · HR
  Program/Project Management · Orientation
  & On-Boarding · HRIS
  ",HR,business,34.0,1
"Summary    Chicago
HR generalist offering 
 Recruitment, Attendance Management System, Payroll Processing, MIS, Employee Engagement
 processing Employee Master Data. Highly driven to achieve company goals.      Highlights        Microsoft Office,
specifically Word, Excel, PowerPoint and Outlook (use of Google Search, Yahoo
Search, and LinkedIn Search effectively for Lateral Hiring and highly Flexible.            Experience     05/2014   to   04/2016     Company Name               01/2012   to   ",HR,business,23.0,0
"HR SPECIALIST         Highlights          Staffing and recruiting professional  Interviewing expertise  Recruiting  Personnel records maintenance  Affirmative Action compliance  Fluent in [Language]  Detail-oriented  Microsoft Office Suite expert  People-oriented              Experience     07/2015   to   Current     HR Specialist    Company Name   －   City  ,   State      Assisted with the establishment of the hiring process that is currently in use at the George's Employment and Training Cente",HR,business,21.0,0
"HR ADMINISTRATOR           Summary      Experience Recruiting Coordinator with 6+ years supporting various industries. Expert in managing background checks 60+ weekly. Processing new hire paperwork; scan, upload and file in employees folders. Proficient in MS Excel - vLook up, Pivot tables, and MS Office, as well as, Taleo, SharePoint, PeopleSoft and Adobe Professional.  Initiated and managed background checks for 45 campus locations.  Tracked and processed 200+ background checks and job requisi",HR,business,32.0,1
"HR MANAGER       Summary     HR Coordinator motivated to create collaborative team environment by using  background in the organization of employee training and team building events.       Key Skills           New employee orientations  Maintains confidentiality  Recruiting  Employee relations  Off-boarding  Performance management strategies       Quickbooks  Sequoia  Taleo  Google Drive  Google Calendar  Microsoft Office Suite (Word, Excel, PowerPoint)              Experience     July 2014     ",HR,business,47.0,1
"HR CONSULTING       Summary    7+ years of Experience as a HR Partner with experience in all the facets of the Human Resource Function. Extensive background in HR generalist affairs, including experience in Recruiting, On boarding, Performance Management, employee retention, staff development, mediation, conflict resolution, Benefits and compensation, HR records management, HR policies, Jobs and Competencies. Demonstrated success in negotiating win-win compromises, developing teambuilding progra",HR,business,37.0,1
"HR ASSISTANT           Professional Summary      I am a HR Assistant who can reflect your values of excellence & quality. I provide excellent customer service for a variety of services while multi-tasking, maintaining confidentiality, and interacting with management, employees, customers, and vendors.  I am currently furthering my education in the medical field. I look forward to working in an environment that enables me use of my skills to gain further experience.       Skill Highlights        ",HR,business,26.0,0
"HR MANAGER       Summary     Human Resources professional with the ability to work successfully with all levels of an organization, deliver expected results, consistently resolve issues, communicate sensitive information, identify opportunities for improvement and make suggestions for change.       Highlights          Staffing and recruiting   Performance management   Employee benefits       Employment law   Employee and labor relations  Manager coaching and training            Experience      H",HR,business,45.0,1
HR DIRECTOR       Summary     HR Professional offering over 15 years of progressive experience including extensive practice in multi-unit businesses (in and out of state locations).  Highly driven to achieve company goals. Expertise in developing and implementing HR plans and procedures smoothly and with little guidance. Strong conflict resolution skills. Comfortable with taking the lead in employment protocol compliance and in anticipating staffing needs.       Highlights          Employment la,HR,business,31.0,1
"HR PROFESSIONAL       Summary     Dependable Self-motivated and assertive Human Resources Professional with innovative solutions and personal accountability who incorporates quality decision making to facilitate success and who promotes a team-oriented and open-door environment that is conducive to a successful staff.          Skills      Staff Recruitment & Retention  Employee Relations, retirement  Payroll, health and welfare  HR Program/Project Management  Orientation & on-boarding  Training ",HR,business,36.0,1
"HR COORDINATOR         Summary     From
my first job as a retail salesperson, I had a passion for leadership and the development of others.  As a Human Resources professional I have had
the privilege of working with new staff members to help them be successful in
the organization. My Human Resources experience is comprised of Generalist
responsibilities where I have been able to contribute to the betterment of the
organization and play a key role in increasing retention for my employer.         ",HR,business,41.0,1
"HR GENERALIST           Summary     HR Generalist with 8 yrs of professional experience in employee  recruitment, orientation, engagement ,assimilation and termination procedures .        Highlights         •Employee recruitment  •Talent Acquisition  •New employee orientations  •Employee Engagement and assimilation  •Vendor Management  •Termination procedures  •MS Office proficient             Experience      HR Generalist    November 2006   to   May 2015     Company Name   -   City  ,   State  ",HR,business,30.0,1
"SENIOR HR MANAGER, HR BUSINESS PARTNER           Summary    A highly dedicated and accomplished human resources manager with a record of proficiency in employee relations, training and development programs, recruitment and on boarding, payroll management, benefits administration, HRMS Database administration, job description development, wage/salary reviews, record keeping, and compliance.  A proven leader in championing company values, vision, and expectations through effective communication an",HR,business,55.0,2
"HR ASSISTANT III       Certifications     John A. Logan College 2003 - 2005 *   University of Alabama at Birmingham 2006 -*       Professional Summary     Human Resources Coordinator with extensive background in payroll processing, accounting and finance. Proficient in ADP and QuickBooks software.  Results-oriented Human Resources Coordinator with 10+ years in all aspects of human resources management. Highly effective communicator who excels at building relationships at all organizational level",HR,business,45.0,1
"HR PAYROLL/ ACCOUNTING REPRESENTATIVE         Summary    Diverse experience in Accounting, Credit Union Financial Services, Retail Sales, Customer Service, Telemarketing, Food & Beverage, Construction and Ironworks. Outstanding organizational ability with attention to detail, while balancing multiple projects in fast-paced environments with excellent interpersonal and communication skills. Demonstrated ability to gain customer trust and provide exceptional service, leading to increased repeat an",HR,business,34.0,1
"SR. HR GENERALIST       Summary    Quality-driven analytical professional who delivers consistent and successful results in HR affairs, including recruitment and retention, staff development, safety and health, mediation, conflict resolution, benefits and compensation, HR audit and records management, HR policies development and legal compliance.      Highlights         HRIS (Kronos, Lawson, PeopleSoft, QuickBooks, HBI, ADP & Oracle)      MS Office (Word, Excel, PowerPoint, Access, Outlook), EMR",HR,business,44.0,1
DIRECTV HR RECRUITER/ ADMINISTRATION       Summary    My goal is to obtain a position where I can utilize and enhance my education and skills.      Highlights           Excellent communication skills    Self-directed  Accurate and detailed    Certified in Basic Life Support (BLS)      Electrocardiography Certification (EKG)       Independent worker   Strong organizational skills    Energetic work attitude  Courteous demeanor            Accomplishments      Recognized by peers and management for ,HR,business,34.0,1
"HR BUSINESS PARTNER       Summary     Proactive Human Resources Business Partner guiding performance management, talent planning and benefits. Decisive with proven success providing employee relations support and oversight for efficient operations. Extensive knowledge and experience developing code of business conduct and ethics policies.       Skills          Leadership development  Collaborative  Organization and efficiency  Exemplary verbal and written communication      Time management  Conf",HR,business,55.0,2
"ASSISTANT MANAGER - HR            www.linkedin.com/in/sumankumari725b9236         Professional Summary     Looking for a challenging position, which utilizes my skills, hard work and provides opportunities to learn and contribute to the organization. I want to see myself as an active contributor to a team of ambitious people and thereby enhance my knowledge and personality. Human Resource Professional with over 4 years of rich experience in Recruitment, Organization Developement, Time Management",HR,business,27.0,0
"HR ASSOCIATE MOBILIZATION COORDINATOR       Summary    Professional with extensive experience in Human Resources in Oil & Gas Company.  Want to be part of an organization that allows me to utilize my strongest skills to achieve the goals for the company, as well as my own personal goals.      Accomplishments      MVP Award, Houston, 2009.  Meeting Project Client set goal of mobilizations to Escravos GTL project year end 2008.  Training Focus The basicc of Expatriate and Foreign Nationla Taxation",HR,business,30.0,1
